0,0,0,0,0,0,0,"2,434","2,367","2,556","5,891","4,568"
"2,949","3,275","3,795","2,626","2,938","2,423","2,461","2,655","2,742","2,964","4,216","3,855"
"2,966","3,649","3,901","2,991","3,423","3,470","3,807","3,839","3,557","3,811","3,782","4,678"
"2,914","3,364","5,590","3,670","2,367","2,349","2,805","3,745","4,359","3,689","3,361","5,794"
"3,206","3,444","3,800","2,559","3,370","3,224","2,596","2,541","3,336","2,791","4,289","5,583"
"2,712","3,904","5,085","1,880","2,945","2,631","2,397","2,551","2,075","2,074","2,819","3,690"
"2,249","2,230","3,785","2,174","1,857","2,042","1,895","1,888","1,635","2,100","1,967","2,165"
"1,811","2,344","1,420",656,"1,457","1,530","1,356","1,206","1,306","1,163",955,"1,329"
"1,377","1,377","1,549","1,411","1,357","1,411",979,943,979,837,837,837
777,777,874,440,424,424,169,175,169,184,176,191
449,431,485,618,594,618,586,632,609,388,388,403
460,460,478,468,487,487,427,479,393,0,0,0
